model,category,empirical_success_pct,pass_at_least_one_pct,n_examples
Qwen3-0.6B,live_irrelevance,79.84162895927601,93.66515837104072,884
Qwen3-1.7B,live_irrelevance,81.35746606334841,89.25339366515837,884
Qwen3-4B,live_irrelevance,82.30769230769229,88.57466063348416,884
Qwen3-8B,live_irrelevance,75.7918552036199,87.44343891402715,884
Qwen3.5-4B,live_irrelevance,45.950226244343895,75.1131221719457,884
Qwen3.5-9B,live_irrelevance,63.84615384615384,85.52036199095022,884
Qwen3-0.6B,live_multiple,48.09116809116809,66.57169990503324,1053
Qwen3-1.7B,live_multiple,69.23076923076923,80.5318138651472,1053
Qwen3-4B,live_multiple,78.4235517568851,86.51471984805318,1053
Qwen3-8B,live_multiple,78.2905982905983,85.18518518518519,1053
Qwen3.5-4B,live_multiple,71.9278252611586,85.09021842355176,1053
Qwen3.5-9B,live_multiple,60.51282051282052,81.19658119658119,1053
Qwen3-0.6B,live_parallel,42.50000000000001,68.75,16
Qwen3-1.7B,live_parallel,43.75,62.5,16
Qwen3-4B,live_parallel,77.5,93.75,16
Qwen3-8B,live_parallel,81.25,100.0,16
Qwen3.5-4B,live_parallel,70.0,81.25,16
Qwen3.5-9B,live_parallel,77.5,87.5,16
Qwen3-0.6B,live_parallel_multiple,49.16666666666667,66.66666666666666,24
Qwen3-1.7B,live_parallel_multiple,69.99999999999999,83.33333333333334,24
Qwen3-4B,live_parallel_multiple,72.5,83.33333333333334,24
Qwen3-8B,live_parallel_multiple,67.5,83.33333333333334,24
Qwen3.5-4B,live_parallel_multiple,67.5,87.5,24
Qwen3.5-9B,live_parallel_multiple,65.0,83.33333333333334,24
Qwen3-0.6B,live_relevance,71.24999999999999,87.5,16
Qwen3-1.7B,live_relevance,57.49999999999999,68.75,16
Qwen3-4B,live_relevance,81.25,93.75,16
Qwen3-8B,live_relevance,85.0,100.0,16
Qwen3.5-4B,live_relevance,78.75000000000001,87.5,16
Qwen3.5-9B,live_relevance,72.50000000000001,87.5,16
Qwen3-0.6B,live_simple,59.68992248062015,76.35658914728683,258
Qwen3-1.7B,live_simple,78.68217054263566,89.92248062015504,258
Qwen3-4B,live_simple,84.26356589147288,90.31007751937985,258
Qwen3-8B,live_simple,84.1860465116279,89.92248062015504,258
Qwen3.5-4B,live_simple,81.3953488372093,91.47286821705426,258
Qwen3.5-9B,live_simple,69.37984496124031,84.88372093023256,258
Qwen3-0.6B,multiple,76.8,90.5,200
Qwen3-1.7B,multiple,88.1,94.0,200
Qwen3-4B,multiple,96.2,98.0,200
Qwen3-8B,multiple,94.70000000000002,98.0,200
Qwen3.5-4B,multiple,91.30000000000001,98.0,200
Qwen3.5-9B,multiple,83.5,94.5,200
Qwen3-0.6B,parallel,70.0,84.5,200
Qwen3-1.7B,parallel,83.6,91.5,200
Qwen3-4B,parallel,93.0,95.0,200
Qwen3-8B,parallel,93.30000000000001,97.5,200
Qwen3.5-4B,parallel,84.2,93.5,200
Qwen3.5-9B,parallel,87.4,96.0,200
Qwen3-0.6B,parallel_multiple,59.20000000000001,83.5,200
Qwen3-1.7B,parallel_multiple,81.2,93.0,200
Qwen3-4B,parallel_multiple,90.4,94.5,200
Qwen3-8B,parallel_multiple,90.4,95.0,200
Qwen3.5-4B,parallel_multiple,85.10000000000001,92.0,200
Qwen3.5-9B,parallel_multiple,82.6,94.5,200
Qwen3-0.6B,simple_python,82.0,91.0,400
Qwen3-1.7B,simple_python,89.05,93.25,400
Qwen3-4B,simple_python,95.7,98.0,400
Qwen3-8B,simple_python,96.05000000000001,99.0,400
Qwen3.5-4B,simple_python,90.94999999999999,97.75,400
Qwen3.5-9B,simple_python,81.0,92.0,400
