file,model_name,language,rows,total_rollouts,total_correct,success_rate,mean_problem_success_rate,truncated_rollouts
Qwen3-0.6B_Chinese.jsonl,Qwen/Qwen3-0.6B,Chinese,3000,15000,3034,0.20226667,0.20226667,101
Qwen3-0.6B_English.jsonl,Qwen/Qwen3-0.6B,English,3000,15000,3993,0.26620000,0.26620000,104
Qwen3-0.6B_French.jsonl,Qwen/Qwen3-0.6B,French,3000,15000,2582,0.17213333,0.17213333,104
Qwen3-0.6B_Italian.jsonl,Qwen/Qwen3-0.6B,Italian,3000,15000,2364,0.15760000,0.15760000,497
Qwen3-0.6B_Swahili.jsonl,Qwen/Qwen3-0.6B,Swahili,3000,15000,585,0.03900000,0.03900000,543
Qwen3-1.7B_Chinese.jsonl,Qwen/Qwen3-1.7B,Chinese,3000,15000,6197,0.41313333,0.41313333,265
Qwen3-1.7B_English.jsonl,Qwen/Qwen3-1.7B,English,3000,15000,7431,0.49540000,0.49540000,317
Qwen3-1.7B_French.jsonl,Qwen/Qwen3-1.7B,French,3000,15000,5777,0.38513333,0.38513333,319
Qwen3-1.7B_Italian.jsonl,Qwen/Qwen3-1.7B,Italian,3000,15000,5647,0.37646667,0.37646667,441
Qwen3-1.7B_Swahili.jsonl,Qwen/Qwen3-1.7B,Swahili,3000,15000,1241,0.08273333,0.08273333,7614
Qwen3-4B_Chinese.jsonl,Qwen/Qwen3-4B,Chinese,3000,15000,9077,0.60513333,0.60513333,250
Qwen3-4B_English.jsonl,Qwen/Qwen3-4B,English,3000,15000,10161,0.67740000,0.67740000,401
Qwen3-4B_French.jsonl,Qwen/Qwen3-4B,French,3000,15000,9102,0.60680000,0.60680000,381
Qwen3-4B_Italian.jsonl,Qwen/Qwen3-4B,Italian,3000,15000,9034,0.60226667,0.60226667,284
Qwen3-4B_Swahili.jsonl,Qwen/Qwen3-4B,Swahili,3000,15000,1659,0.11060000,0.11060000,6691
Qwen3-8B_Chinese.jsonl,Qwen/Qwen3-8B,Chinese,1440,7200,4412,0.61277778,0.61277778,227
Qwen3-8B_English.jsonl,Qwen/Qwen3-8B,English,3000,15000,10435,0.69566667,0.69566667,663
Qwen3-8B_French.jsonl,Qwen/Qwen3-8B,French,3000,15000,9620,0.64133333,0.64133333,462
Qwen3-8B_Italian.jsonl,Qwen/Qwen3-8B,Italian,3000,15000,9519,0.63460000,0.63460000,344
Qwen3.5-2B_Chinese.jsonl,Qwen/Qwen3.5-2B,Chinese,3000,15000,6925,0.46166667,0.46166667,5246
Qwen3.5-2B_English.jsonl,Qwen/Qwen3.5-2B,English,3000,15000,8674,0.57826667,0.57826667,3948
Qwen3.5-2B_French.jsonl,Qwen/Qwen3.5-2B,French,3000,15000,6051,0.40340000,0.40340000,3099
Qwen3.5-2B_Italian.jsonl,Qwen/Qwen3.5-2B,Italian,3000,15000,5613,0.37420000,0.37420000,4118
Qwen3.5-2B_Swahili.jsonl,Qwen/Qwen3.5-2B,Swahili,3000,15000,1177,0.07846667,0.07846667,6645
Qwen3.5-4B_Chinese.jsonl,Qwen/Qwen3.5-4B,Chinese,3000,15000,12506,0.83373333,0.83373333,735
Qwen3.5-4B_English.jsonl,Qwen/Qwen3.5-4B,English,3000,15000,13038,0.86920000,0.86920000,1320
Qwen3.5-4B_French.jsonl,Qwen/Qwen3.5-4B,French,3000,15000,12410,0.82733333,0.82733333,439
Qwen3.5-4B_Italian.jsonl,Qwen/Qwen3.5-4B,Italian,3000,15000,12373,0.82486667,0.82486667,473
Qwen3.5-4B_Swahili.jsonl,Qwen/Qwen3.5-4B,Swahili,3000,15000,7887,0.52580000,0.52580000,2328
Qwen3.5-9B_Chinese.jsonl,Qwen/Qwen3.5-9B,Chinese,3000,15000,12572,0.83813333,0.83813333,1483
Qwen3.5-9B_English.jsonl,Qwen/Qwen3.5-9B,English,3000,15000,12401,0.82673333,0.82673333,2848
Qwen3.5-9B_French.jsonl,Qwen/Qwen3.5-9B,French,3000,15000,12602,0.84013333,0.84013333,1044
Qwen3.5-9B_Italian.jsonl,Qwen/Qwen3.5-9B,Italian,3000,15000,12557,0.83713333,0.83713333,1088
