condition,condition_label,selection_type,selection_value,status,policy,lambda,anchor_margin,threshold,val_success,val_cost_savings_pct_vs_anchor,test_success,test_cost_savings_pct_vs_anchor,test_success_delta_pp_vs_anchor,test_anchor_route_frac,test_n_items,anchor_test_success
english_transfer,English-only transfer probe,best_val_success,best,ok,raw_anchor,0.0025,0.1,,0.8569298245614035,0.8583983100801884,0.8560909090909091,1.1828106492087542,-0.31818181818181746,0.985909090909091,4400.0,0.8592727272727273
english_transfer,English-only transfer probe,max_drop_pp,0,no_validation_policy,,,,,,,,,,,,
english_transfer,English-only transfer probe,max_drop_pp,0.25,ok,raw_anchor,0.013,0.1,,0.8560526315789474,1.1910740876157844,0.8543636363636363,1.7333981748044347,-0.4909090909090974,0.9786363636363636,4400.0,0.8592727272727273
english_transfer,English-only transfer probe,max_drop_pp,0.5,ok,raw_anchor,0.028,0.1,,0.8537719298245615,2.0147463534692545,0.8531818181818182,2.4144216723552048,-0.6090909090909147,0.9693181818181819,4400.0,0.8592727272727273
english_transfer,English-only transfer probe,max_drop_pp,1,ok,raw_anchor,0.025,0.075,,0.8487719298245614,5.255787477409369,0.8479545454545454,5.489257200435915,-1.1318181818181894,0.9209090909090909,4400.0,0.8592727272727273
english_transfer,English-only transfer probe,max_drop_pp,1.5,ok,raw_anchor,0.005,0.05,,0.8438157894736843,9.11760457174353,0.8414090909090909,8.949745239123864,-1.7863636363636415,0.8584090909090909,4400.0,0.8592727272727273
english_transfer,English-only transfer probe,max_drop_pp,2,ok,raw_anchor,0.0,0.039,,0.8386403508771929,12.302039832538025,0.8359090909090909,12.570895093916857,-2.3363636363636364,0.7940909090909091,4400.0,0.8592727272727273
english_transfer,English-only transfer probe,max_drop_pp,3,ok,raw_anchor,0.0,0.028,,0.828640350877193,18.542766343213835,0.8228636363636365,18.1651112568896,-3.6409090909090835,0.695,4400.0,0.8592727272727273
english_transfer,English-only transfer probe,max_drop_pp,5,ok,raw_anchor,0.0025,0.01,,0.809517543859649,33.39670328105549,0.7985,33.113851611826405,-6.077272727272732,0.43363636363636365,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,best_val_success,best,ok,raw_anchor,0.022,0.075,,0.8716228070175437,11.699374306349398,0.8654090909090909,11.99669568223487,0.6136363636363606,0.7768181818181819,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,max_drop_pp,0,ok,raw_anchor,0.064,0.018,,0.8585526315789473,32.070948030239244,0.8465,31.93350933078134,-1.277272727272727,0.4075,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,max_drop_pp,0.25,ok,raw_anchor,0.17,0.075,,0.8561842105263158,34.25084003361517,0.8445909090909091,34.08143739361338,-1.468181818181824,0.42113636363636364,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,max_drop_pp,0.5,ok,raw_anchor,0.13,0.046,,0.8535526315789473,35.323410553662605,0.8425454545454545,34.91837885202037,-1.6727272727272813,0.38545454545454544,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,max_drop_pp,1,ok,raw_anchor,0.25,0.1,,0.8487719298245614,40.595684692726806,0.8383181818181819,40.032549851422594,-2.095454545454545,0.3440909090909091,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,max_drop_pp,1.5,ok,raw_anchor,0.17,0.04,,0.8435526315789473,42.18266719770109,0.8355454545454546,41.42992713439902,-2.372727272727271,0.2822727272727273,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,max_drop_pp,2,ok,raw_anchor,0.17,0.022,,0.8387280701754387,45.771286511145895,0.8302727272727273,45.085568921860485,-2.9000000000000026,0.21295454545454545,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,max_drop_pp,3,ok,raw_anchor,0.25,0.049,,0.8285526315789473,51.071092913353034,0.8222727272727273,50.00393427475714,-3.7000000000000033,0.16590909090909092,4400.0,0.8592727272727273
pooled,Pooled multilingual probe,max_drop_pp,5,ok,raw_anchor,0.3,0.01,,0.8090350877192982,58.3433617463639,0.8009090909090909,58.20224198226174,-5.8363636363636395,0.04022727272727273,4400.0,0.8592727272727273
